Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
Afghanistan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,AFG
Afghanistan,Renewable Energy Share in the Total Final Energy Consumption,24.65,,%,2017,7.2.1,AFG
Afghanistan,Surface Area,652.86,,'000  km2,,,AFG
Afghanistan,Total Fertility Rate,4.47,,births per woman,2018,,AFG
Afghanistan,Total Official Flows for Infrastructure - Official Development Assistance (ODA),450.62,,"disbursements, constant 2017, $ million",2018,9.a.1,AFG
Afghanistan,Total Official Flows for Infrastructure - Other Official Flows (OOF),0.5,,"disbursements, constant 2017, $ million",2018,9.a.1,AFG
Afghanistan,Total Outstanding,1213,,$ million,2018,,AFG
Afghanistan,Total Outstanding,5.97,,% of GNI,2018,,AFG
Afghanistan,Total Population,30.7,,million,2019,,AFG
Afghanistan,Trade Balance,-28.19,,% of GDP,2019,,AFG
Afghanistan,Tuberculosis Incidence,189,,"per 100,000 population",2018,3.3.2,AFG
Afghanistan,Under-5 Mortality Rate,62.3,,"per 1,000 live births",2018,3.2.1,AFG
Afghanistan,"Unemployment Rate, by Sex (Female)",14,,%,2019,8.5.2,AFG
Afghanistan,"Unemployment Rate, by Sex (Male)",10.33,,%,2019,8.5.2,AFG
Afghanistan,"Unemployment Rate, by Sex (Total)",11.12,,%,2019,8.5.2,AFG
Afghanistan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,4.15,,%,2018,17.3.2,AFG
Armenia,Age Dependency Ratio,46.82,,% of working-age population,2018,,ARM
Armenia,"Annual Change 
in Money Supply",11.18,,%,2019,,ARM
Armenia,"Annual Growth Rate of GDP



",7.6,,%,2019,,ARM
Armenia,Annual Growth Rate of Real GDP per Employed Person,5.33,,%,2019,8.2.1,ARM
Armenia,Annual Real Growth Rates on Value Added (Agriculture),-3.96,,%,2019,,ARM
Armenia,Annual Real Growth Rates on Value Added (Industry),8.57,,%,2019,,ARM
Armenia,Annual Real Growth Rates on Value Added (Services),10.07,,%,2019,,ARM
Armenia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,32.9,,μg/m3,2016,11.6.2,ARM
Armenia,Average Annual Population Growth Rate,-0.34,,%,2014-2019,,ARM
Armenia,CO2 Emissions,5.17,,Million Metric Tons,2017,9.4.1,ARM
Armenia,CO2 Emissions,0.21,,Per Unit of GDP (PPP),2017,9.4.1,ARM
Armenia,Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,ARM
Armenia,Current Account Balance,-7.99,,% of GDP,2019,,ARM
Armenia,Debt Service as a Percentage of Exports of Goods and Services,6.64,,%,2018,17.4.1,ARM
Armenia,Domestic Material Consumption,32.51,,Million Metric Tons,2017,12.2.2,ARM
Armenia,Domestic Material Consumption,11.09,,Per Capita,2017,12.2.2,ARM
Armenia,Forest Area as a Proportion of Total Land Area,11.66,,%,2015,15.1.1,ARM
Armenia,Government Finance - Expenditure,24.77,,% of  GDP,2019,,ARM
Armenia,Government Finance - Fiscal Balance,-0.98,,% of  GDP,2019,,ARM
Armenia,Government Finance - Revenue,23.8,,% of  GDP,2019,,ARM
Armenia,Gross Domestic Investment,19.22,,% of GDP,2019,,ARM
Armenia,Gross International Reserves,2839.83,,$ million,2019,,ARM
Armenia,Growth Rate of Merchandise Exports,9.7,,%,2019,,ARM
Armenia,Growth Rate of Merchandise Imports,8.5,,%,2019,,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita,2.4,,%,2013-2018,10.1.1,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.26,,%,2013-2018,10.1.1,ARM
Armenia,Inflation Rate,1.4,,%,2019,,ARM
Armenia,Material Footprint,23.88,,Million Metric Tons,2017,12.2.1,ARM
Armenia,Material Footprint,8.15,,Per Capita,2017,12.2.1,ARM
Armenia,Maternal Mortality Ratio,26,,"per 100,000 live births",2017,3.1.1,ARM
Armenia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",22.3,,%,2016,3.4.1,ARM
Armenia,Neonatal Mortality Rate,6.5,,"per 1,000 live births",2018,3.2.2,ARM
Armenia,"Nominal Gross Domestic Product
(GDP)



",13.64,,$ billion,2019,,ARM
Armenia,Number of ATMs,64.11,,"per 100,000 adults",2018,8.10.1,ARM
Armenia,Number of Commercial Bank Branches ,23.6,,"per 100,000 adults",2018,8.10.1,ARM
Armenia,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),49.54,,%,2018,4.2.2,ARM
Armenia,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),45.77,,%,2018,4.2.2,ARM
Armenia,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),47.54,,%,2018,4.2.2,ARM
Armenia,"Per Capita Gross National Income (GNI), Atlas Method",4230,,$,2018,,ARM
Armenia,Population Density,100,,persons per km2 of surface area,2019,,ARM
Armenia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,13.7,5,%,2016,2.2.2,ARM
Armenia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,4.43,5,%,,2.2.2,ARM
Armenia,Prevalence of Stunting among Children under 5 Years of Age,9.4,5,%,2016,2.2.1,ARM
Armenia,Prevalence of Undernourishment,4.3,,%,2016-2018,2.1.1,ARM
Armenia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,47.76,,%,2017,8.10.2,ARM
Armenia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,99.3,,%,2016,16.9.1,ARM
Armenia,Proportion of Employed Population below $1.90 PPP a Day (Female),0.32,,%,2019,1.1.1,ARM
Armenia,Proportion of Employed Population below $1.90 PPP a Day (Male),0.28,,%,2019,1.1.1,ARM
Armenia,Proportion of Employed Population below $1.90 PPP a Day (Total),0.3,,%,2019,1.1.1,ARM
Armenia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,2.08,,%,2018,,ARM
Armenia,Proportion of Population Covered by Mobile Network - 2G,100,,%,2018,9.c.1,ARM
Armenia,Proportion of Population Covered by Mobile Network - 3G,100,,%,2018,9.c.1,ARM
Armenia,Proportion of Population Covered by Mobile Network - LTE/WiMAX,99.1,,%,2018,9.c.1,ARM
Armenia,"Proportion of Population Living below
the National Poverty Line",23.5,,%,2018,,ARM
Armenia,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,ARM
Armenia,Proportion of Population Using Safely Managed Drinking Water Services (Total),86.48,,%,2017,6.1.1,ARM
Armenia,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",48.22,,%,2017,6.2.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",45.26,,%,2017,6.2.1,ARM
Armenia,Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,ARM
Armenia,Proportion of Seats Held by Women in National Parliaments,23.48,,%,2019,5.5.1,ARM
Armenia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,ARM
Armenia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),81.97,6,%,2017,4.c.1,ARM
Armenia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),…,,%,2018,4.c.1,ARM
Armenia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,ARM
Armenia,Renewable Energy Share in the Total Final Energy Consumption,12.46,,%,2017,7.2.1,ARM
Armenia,Surface Area,29.74,,'000  km2,,,ARM
Armenia,Total Fertility Rate,1.76,,births per woman,2018,,ARM
Armenia,Total Official Flows for Infrastructure - Official Development Assistance (ODA),64.97,,"disbursements, constant 2017, $ million",2018,9.a.1,ARM
Armenia,Total Official Flows for Infrastructure - Other Official Flows (OOF),166.05,,"disbursements, constant 2017, $ million",2018,9.a.1,ARM
Armenia,Total Outstanding,5536.37,,$ million,2018,,ARM
Armenia,Total Outstanding,44.38,,% of GNI,2018,,ARM
Armenia,Total Population,2.96,,million,2019,,ARM
Armenia,Trade Balance,-14,,% of GDP,2019,,ARM
Armenia,Tuberculosis Incidence,31,,"per 100,000 population",2018,3.3.2,ARM
Armenia,Under-5 Mortality Rate,12.4,,"per 1,000 live births",2018,3.2.1,ARM
Armenia,"Unemployment Rate, by Sex (Female)",17.3,,%,2019,8.5.2,ARM
Armenia,"Unemployment Rate, by Sex (Male)",16.73,,%,2019,8.5.2,ARM
Armenia,"Unemployment Rate, by Sex (Total)",16.99,,%,2019,8.5.2,ARM
Armenia,Volume of Remittances in United States Dollars as a Proportion of Total GDP,11.97,,%,2018,17.3.2,ARM
Azerbaijan,Age Dependency Ratio,41.97,,% of working-age population,2018,,AZE
Azerbaijan,"Annual Change 
in Money Supply",11.15,,%,2019,,AZE
Azerbaijan,"Annual Growth Rate of GDP



",2.2,,%,2019,,AZE
Azerbaijan,Annual Growth Rate of Real GDP per Employed Person,2.98,,%,2019,8.2.1,AZE
Azerbaijan,Annual Real Growth Rates on Value Added (Agriculture),7.3,,%,2019,,AZE
Azerbaijan,Annual Real Growth Rates on Value Added (Industry),0.7,,%,2019,,AZE
Azerbaijan,Annual Real Growth Rates on Value Added (Services),3.74,,%,2019,,AZE
Azerbaijan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,18.5,,μg/m3,2016,11.6.2,AZE
Azerbaijan,Average Annual Population Growth Rate,1.01,,%,2014-2019,,AZE
Azerbaijan,CO2 Emissions,30.81,,Million Metric Tons,2017,9.4.1,AZE
Azerbaijan,CO2 Emissions,0.2,,Per Unit of GDP (PPP),2017,9.4.1,AZE
Azerbaijan,Coverage of Protected Areas in Relation to Marine Areas,0.05,,%,2018,14.5.1,AZE
Azerbaijan,Current Account Balance,7.3,,% of GDP,2019,,AZE
Azerbaijan,Debt Service as a Percentage of Exports of Goods and Services,8.34,,%,2018,17.4.1,AZE
Azerbaijan,Domestic Material Consumption,90.15,,Million Metric Tons,2017,12.2.2,AZE
Azerbaijan,Domestic Material Consumption,9.17,,Per Capita,2017,12.2.2,AZE
Azerbaijan,Forest Area as a Proportion of Total Land Area,13.78,,%,2015,15.1.1,AZE
Azerbaijan,Government Finance - Expenditure,29.88,,% of  GDP,2019,,AZE
Azerbaijan,Government Finance - Fiscal Balance,-0.25,,% of  GDP,2019,,AZE
Azerbaijan,Government Finance - Revenue,29.63,,% of  GDP,2019,,AZE
Azerbaijan,Gross Domestic Investment,20.08,7,% of GDP,2017,,AZE
Azerbaijan,Gross International Reserves,5334.6,6,$ million,2017,,AZE
Azerbaijan,Growth Rate of Merchandise Exports,-6.36,,%,2019,,AZE
Azerbaijan,Growth Rate of Merchandise Imports,24.79,,%,2019,,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,AZE
Azerbaijan,Inflation Rate,2.6,,%,2019,,AZE
Azerbaijan,Material Footprint,61.48,,Million Metric Tons,2017,12.2.1,AZE
Azerbaijan,Material Footprint,6.26,,Per Capita,2017,12.2.1,AZE
Azerbaijan,Maternal Mortality Ratio,26,,"per 100,000 live births",2017,3.1.1,AZE
Azerbaijan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",22.2,,%,2016,3.4.1,AZE
Azerbaijan,Neonatal Mortality Rate,11.2,,"per 1,000 live births",2018,3.2.2,AZE
Azerbaijan,"Nominal Gross Domestic Product
(GDP)



",48.05,,$ billion,2019,,AZE
Azerbaijan,Number of ATMs,32.84,,"per 100,000 adults",2018,8.10.1,AZE
Azerbaijan,Number of Commercial Bank Branches ,10.66,4,"per 100,000 adults",2015,8.10.1,AZE
Azerbaijan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),68.62,,%,2018,4.2.2,AZE
Azerbaijan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),69.55,,%,2018,4.2.2,AZE
Azerbaijan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),69.12,,%,2018,4.2.2,AZE
Azerbaijan,"Per Capita Gross National Income (GNI), Atlas Method",4050,,$,2018,,AZE
Azerbaijan,Population Density,116,,persons per km2 of surface area,2019,,AZE
Azerbaijan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,14.1,2,%,2013,2.2.2,AZE
Azerbaijan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.16,2,%,,2.2.2,AZE
Azerbaijan,Prevalence of Stunting among Children under 5 Years of Age,17.77,2,%,2013,2.2.1,AZE
Azerbaijan,Prevalence of Undernourishment,–,,%,2016-2018,2.1.1,AZE
Azerbaijan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,28.57,,%,2017,8.10.2,AZE
Azerbaijan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,AZE
Azerbaijan,Proportion of Employed Population below $1.90 PPP a Day (Female),0.02,,%,2019,1.1.1,AZE
Azerbaijan,Proportion of Employed Population below $1.90 PPP a Day (Male),0.03,,%,2019,1.1.1,AZE
Azerbaijan,Proportion of Employed Population below $1.90 PPP a Day (Total),0.03,,%,2019,1.1.1,AZE
Azerbaijan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,AZE
Azerbaijan,Proportion of Population Covered by Mobile Network - 2G,100,,%,2018,9.c.1,AZE
Azerbaijan,Proportion of Population Covered by Mobile Network - 3G,97.1,,%,2018,9.c.1,AZE
Azerbaijan,Proportion of Population Covered by Mobile Network - LTE/WiMAX,49,,%,2018,9.c.1,AZE
Azerbaijan,"Proportion of Population Living below
the National Poverty Line",5.1,,%,2018,,AZE
Azerbaijan,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,AZE
Azerbaijan,Proportion of Population Using Safely Managed Drinking Water Services (Total),73.56,,%,2017,6.1.1,AZE
Azerbaijan,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",92.21,,%,2017,6.2.1,AZE
Azerbaijan,Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,AZE
Azerbaijan,Proportion of Seats Held by Women in National Parliaments,16.81,,%,2019,5.5.1,AZE
Azerbaijan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),99.76,,%,2018,4.c.1,AZE
Azerbaijan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),91.28,,%,2018,4.c.1,AZE
Azerbaijan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),99.52,,%,2018,4.c.1,AZE
Azerbaijan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),71.89,,%,2018,4.c.1,AZE
Azerbaijan,Renewable Energy Share in the Total Final Energy Consumption,1.91,,%,2017,7.2.1,AZE
Azerbaijan,Surface Area,86.6,,'000  km2,,,AZE
Azerbaijan,Total Fertility Rate,2.08,,births per woman,2018,,AZE
Azerbaijan,Total Official Flows for Infrastructure - Official Development Assistance (ODA),34,,"disbursements, constant 2017, $ million",2018,9.a.1,AZE
Azerbaijan,Total Official Flows for Infrastructure - Other Official Flows (OOF),726.52,,"disbursements, constant 2017, $ million",2018,9.a.1,AZE
Azerbaijan,Total Outstanding,9398.3,6,$ million,2017,,AZE
Azerbaijan,Total Outstanding,23.41,6,% of GNI,2017,,AZE
Azerbaijan,Total Population,10.02,,million,2019,,AZE
Azerbaijan,Trade Balance,12.08,,% of GDP,2019,,AZE
Azerbaijan,Tuberculosis Incidence,63,,"per 100,000 population",2018,3.3.2,AZE
Azerbaijan,Under-5 Mortality Rate,21.5,,"per 1,000 live births",2018,3.2.1,AZE
Azerbaijan,"Unemployment Rate, by Sex (Female)",6.34,,%,2019,8.5.2,AZE
Azerbaijan,"Unemployment Rate, by Sex (Male)",4.72,,%,2019,8.5.2,AZE
Azerbaijan,"Unemployment Rate, by Sex (Total)",5.51,,%,2019,8.5.2,AZE
Azerbaijan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,2.61,,%,2018,17.3.2,AZE
Bangladesh,Age Dependency Ratio,48.95,,% of working-age population,2018,,BAN
Bangladesh,"Annual Change 
in Money Supply",9.88,,%,2019,,BAN
Bangladesh,"Annual Growth Rate of GDP



",8.15,,%,2019,,BAN
Bangladesh,Annual Growth Rate of Real GDP per Employed Person,5.9,,%,2019,8.2.1,BAN
Bangladesh,Annual Real Growth Rates on Value Added (Agriculture),3.92,,%,2019,,BAN
Bangladesh,Annual Real Growth Rates on Value Added (Industry),12.67,,%,2019,,BAN
Bangladesh,Annual Real Growth Rates on Value Added (Services),6.78,,%,2019,,BAN
Bangladesh,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,58.6,,μg/m3,2016,11.6.2,BAN
Bangladesh,Average Annual Population Growth Rate,1.29,,%,2014-2019,,BAN
Bangladesh,CO2 Emissions,78.27,,Million Metric Tons,2017,9.4.1,BAN
Bangladesh,CO2 Emissions,0.14,,Per Unit of GDP (PPP),2017,9.4.1,BAN
Bangladesh,Coverage of Protected Areas in Relation to Marine Areas,5.24,,%,2018,14.5.1,BAN
Bangladesh,Current Account Balance,-1.74,,% of GDP,2019,,BAN
Bangladesh,Debt Service as a Percentage of Exports of Goods and Services,4.23,,%,2018,17.4.1,BAN
Bangladesh,Domestic Material Consumption,435.72,,Million Metric Tons,2017,12.2.2,BAN
Bangladesh,Domestic Material Consumption,2.65,,Per Capita,2017,12.2.2,BAN
Bangladesh,Forest Area as a Proportion of Total Land Area,10.98,,%,2015,15.1.1,BAN
Bangladesh,Government Finance - Expenditure,15.41,,% of  GDP,2019,,BAN
Bangladesh,Government Finance - Fiscal Balance,-5.5,,% of  GDP,2019,,BAN
Bangladesh,Government Finance - Revenue,9.91,,% of  GDP,2019,,BAN
Bangladesh,Gross Domestic Investment,31.57,,% of GDP,2019,,BAN
Bangladesh,Gross International Reserves,32716.51,,$ million,2019,,BAN
Bangladesh,Growth Rate of Merchandise Exports,10.09,,%,2019,,BAN
Bangladesh,Growth Rate of Merchandise Imports,1.79,,%,2019,,BAN
Bangladesh,Growth Rates of Household Expenditure or Income per Capita,1.54,,%,2010-2016,10.1.1,BAN
Bangladesh,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.35,,%,2010-2016,10.1.1,BAN
Bangladesh,Inflation Rate,5.48,,%,2019,,BAN
Bangladesh,Material Footprint,388.87,,Million Metric Tons,2017,12.2.1,BAN
Bangladesh,Material Footprint,2.36,,Per Capita,2017,12.2.1,BAN
Bangladesh,Maternal Mortality Ratio,173,,"per 100,000 live births",2017,3.1.1,BAN
Bangladesh,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",21.6,,%,2016,3.4.1,BAN
Bangladesh,Neonatal Mortality Rate,17.1,,"per 1,000 live births",2018,3.2.2,BAN
Bangladesh,"Nominal Gross Domestic Product
(GDP)



",302.57,,$ billion,2019,,BAN
Bangladesh,Number of ATMs,8.86,,"per 100,000 adults",2018,8.10.1,BAN
Bangladesh,Number of Commercial Bank Branches ,8.94,,"per 100,000 adults",2018,8.10.1,BAN
Bangladesh,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,BAN
Bangladesh,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,BAN
Bangladesh,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,BAN
Bangladesh,"Per Capita Gross National Income (GNI), Atlas Method",1750,,$,2018,,BAN
Bangladesh,Population Density,1134,,persons per km2 of surface area,2019,,BAN
Bangladesh,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2.2,7,%,2018,2.2.2,BAN
Bangladesh,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,8.4,7,%,,2.2.2,BAN
Bangladesh,Prevalence of Stunting among Children under 5 Years of Age,30.8,7,%,2018,2.2.1,BAN
Bangladesh,Prevalence of Undernourishment,14.7,,%,2016-2018,2.1.1,BAN
