Regional Economy,Statistic,Value,Year,Sustainable Development Goal,Country Code
Afghanistan,"Infant Mortality Rate (per 1,000 live births)",66.3,2015,3.2.1,AFG
Afghanistan,"Under-5 Mortality Rate (per 1,000 live births)",91.1,2015,3.2.1,AFG
Afghanistan,"Neonatal Mortality Rate (per 1,000 live births)",35.5,2015,3.2.2,AFG
Afghanistan,"Number of New HIV Infections (per 1,000 uninfected population)",0.03,2015,3.3.1,AFG
Afghanistan,"Tuberculosis Incidence (per 100,000 population)",189,2015,3.3.2,AFG
Afghanistan,"Incidence of Malaria (per 1,000 population)",15.71,2013,3.3.3,AFG
Afghanistan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",30.54,2012,3.4.1,AFG
Afghanistan,"Death Rate due to Road Traffic Injuries (per 100,000 population)",15.5,2013,3.6.1,AFG
Afghanistan,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),,,3.7.1,AFG
Afghanistan,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",51.9,2011,3.7.2,AFG
Afghanistan,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",114.8,2012,3.9.1,AFG
Afghanistan,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",34.62,2012,3.9.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",,,4.2.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",,,4.2.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",,,4.2.2,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,,4.c.1,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,,4.c.1,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,AFG
Afghanistan,Proportion of Seats Held by Women in National Parliaments (%),27.7,2016,5.5.1,AFG
Afghanistan,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",46.98,2015,6.1.1,AFG
Afghanistan,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",55.3,2015,6.1.1,AFG
Afghanistan,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",78.15,2015,6.1.1,AFG
Afghanistan,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",27.04,2015,6.2.1,AFG
Afghanistan,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",31.85,2015,6.2.1,AFG
Afghanistan,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",45.07,2015,6.2.1,AFG
Afghanistan,Proportion of Population with Access to Electricity (%),89.5,2014,7.1.1,AFG
Afghanistan,Renewal Energy Share in the Total Final Energy Consumption (%),16.75,2014,7.2.1,AFG
Afghanistan,"Number of ATMs (per 100,000 adults)",0.96,2015,8.10.1,AFG
Afghanistan,"Number of Commercial Bank Branches (per 100,000 adults)",2.25,2015,8.10.1,AFG
Afghanistan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),12.2,2014,8.10.2,AFG
Afghanistan,Annual Growth Rate of Real GDP per Employed Person (%),,,8.2.1,AFG
Afghanistan,"Unemployment Rate, Female (%)",16.5,2011,8.5.2,AFG
Afghanistan,"Unemployment Rate, Male (%)",6.4,2011,8.5.2,AFG
Afghanistan,"Unemployment Rate, Total (%)",8.2,2011,8.5.2,AFG
Afghanistan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",,,8.6.1,AFG
Afghanistan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",,,8.6.1,AFG
Afghanistan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",,,8.6.1,AFG
Afghanistan,"CO2 Emissions, Million Metric Tons",,,9.4.1,AFG
Afghanistan,"CO2 Emissions, Per Unit of GDP (PPP)",,,9.4.1,AFG
Afghanistan,Total Official Flows for Infrastructure (constant 2014 $ million),552.51,2015,9.a.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 2G (%)",89.2,2015,9.c.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 3G (%)",40,2015,9.c.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",,,9.c.1,AFG
Afghanistan,Annual Change in Money Supply (%),7.47,2016,,AFG
Afghanistan,"Central Government Finance, Expenditures (% of GDP)",27.67,2016,,AFG
Afghanistan,"Central Government Finance, Fiscal Balance (% of  GDP)",1.61,2016,,AFG
Afghanistan,"Central Government Finance, Revenues (% of GDP)",29.28,2016,,AFG
Afghanistan,Current Account Balance (% of GDP),4.36,2016,,AFG
Afghanistan,"External Debt, Total Outstanding (% of GNI)",6.93,2015,,AFG
Afghanistan,"External Debt, Total Outstanding ($ million)",1380,2015,,AFG
Afghanistan,Gross Domestic Investment (% of GDP),19.35,2015,,AFG
Afghanistan,Gross Domestic Product (GDP) Annual Growth Rate (%),0.8,2015,,AFG
Afghanistan,Gross Domestic Product (GDP) Annual Growth Rate (%),2,2016,,AFG
Afghanistan,Gross International Reserves ($ million),7500,2016,,AFG
Afghanistan,Growth Rate of Merchandise Exports (%),3,2016,,AFG
Afghanistan,Growth Rate of Merchandise Imports (%),1.51,2016,,AFG
Afghanistan,Inflation Rate (%),4.5,2016,,AFG
Afghanistan,"Per Capita Gross National Income (GNI), Atlas Method (%)",610,2015,,AFG
Afghanistan,Trade Balance (% of GDP),-38.57,2016,,AFG
Afghanistan,"Value Added, Agriculture Annual Growth Rate (%)",2,2016,,AFG
Afghanistan,"Value Added, Industry Annual Growth Rate (%)",3.1,2016,,AFG
Afghanistan,"Value Added, Services Annual Growth Rate (%)",1.4,2016,,AFG
Armenia,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",41.26,2015,,ARM
Armenia,Average Annual Population Growth Rate (%),-0.21,2011-2016,,ARM
Armenia,Gini Index (%),31.48,2014,,ARM
Armenia,"Land, Total Surface Area ('000  km2)",29.74,,,ARM
Armenia,Population Density (persons per km2 of total surface area),100.77,2016,,ARM
Armenia,Total Fertility Rate (births per woman),1.52,2015,,ARM
Armenia,Total Population (million),3,2016,,ARM
Armenia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",2.01,2013,1.1.1,ARM
Armenia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",2.33,2013,1.1.1,ARM
Armenia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",2.19,2013,1.1.1,ARM
Armenia,Proportion of Population below $1.90 Purchasing Power Parity (%),2.31,2014,1.1.1,ARM
Armenia,Proportion of Population Living below the National Poverty Line (%),29.8,2015,1.2.1,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita (%),1.64,2009-2014,10.1.1,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),0.69,2009-2014,10.1.1,ARM
Armenia,Proportion of Urban Population Living in Slums (%),14.4,2014,11.1.1,ARM
Armenia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),25,2014,11.6.2,ARM
Armenia,"Material Footprint, Million Metric Tons",14.31,2010,12.2.1,ARM
Armenia,"Material Footprint, Per Capita",4.83,2010,12.2.1,ARM
Armenia,"Domestic Material Consumption, Million Metric Tons",16.02,2010,12.2.2,ARM
Armenia,"Domestic Material Consumption, Per Capita",5.41,2010,12.2.2,ARM
Armenia,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,ARM
Armenia,Forest Area as a Proportion of Total Land Area (%),11.77,2015,15.1.1,ARM
Armenia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),99.6,2010,16.9.1,ARM
Armenia,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),14.17,2015,17.3.2,ARM
Armenia,Debt Service as a Percentage of Exports of Goods and Services (%),9.62,2015,17.4.1,ARM
Armenia,Fixed Broadband Subscriptions (per 100 inhabitants),9.58,2015,17.6.2,ARM
Armenia,Proportion of Individuals Using the Internet (%),58.25,2015,17.8.1,ARM
Armenia,Prevalence of Undernourishment (%),5.8,2014-2016,2.1.1,ARM
Armenia,Prevalence of Stunting among Children under 5 Years of Age (%),20.8,2010,2.2.1,ARM
Armenia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),16.8,2010,2.2.2,ARM
Armenia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),4.2,2010,2.2.2,ARM
Armenia,"Maternal Mortality Ratio (per 100,000 live births)",25,2015,3.1.1,ARM
Armenia,Proportion of Births Attended by Skilled Health Personnel (%),99.5,2010,3.1.2,ARM
Armenia,"Infant Mortality Rate (per 1,000 live births)",12.6,2015,3.2.1,ARM
Armenia,"Under-5 Mortality Rate (per 1,000 live births)",14.1,2015,3.2.1,ARM
Armenia,"Neonatal Mortality Rate (per 1,000 live births)",7.4,2015,3.2.2,ARM
Armenia,"Number of New HIV Infections (per 1,000 uninfected population)",0.14,2015,3.3.1,ARM
Armenia,"Tuberculosis Incidence (per 100,000 population)",41,2015,3.3.2,ARM
Armenia,"Incidence of Malaria (per 1,000 population)",,,3.3.3,ARM
Armenia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",29.7,2012,3.4.1,ARM
Armenia,"Death Rate due to Road Traffic Injuries (per 100,000 population)",18.3,2013,3.6.1,ARM
Armenia,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),39.2,2010,3.7.1,ARM
Armenia,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",22.7,2013,3.7.2,ARM
Armenia,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",93.2,2012,3.9.1,ARM
Armenia,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",1.09,2012,3.9.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",,,4.2.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",,,4.2.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",,,4.2.2,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",80.01,2015,4.c.1,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,,4.c.1,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,ARM
Armenia,Proportion of Seats Held by Women in National Parliaments (%),9.9,2016,5.5.1,ARM
Armenia,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",100,2015,6.1.1,ARM
Armenia,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",100,2015,6.1.1,ARM
Armenia,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",100,2015,6.1.1,ARM
Armenia,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",78.19,2015,6.2.1,ARM
Armenia,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",89.5,2015,6.2.1,ARM
Armenia,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",96.23,2015,6.2.1,ARM
Armenia,Proportion of Population with Access to Electricity (%),100,2014,7.1.1,ARM
Armenia,Renewal Energy Share in the Total Final Energy Consumption (%),7.72,2014,7.2.1,ARM
Armenia,"Number of ATMs (per 100,000 adults)",57.49,2015,8.10.1,ARM
Armenia,"Number of Commercial Bank Branches (per 100,000 adults)",22.21,2015,8.10.1,ARM
Armenia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),21.8,2014,8.10.2,ARM
Armenia,Annual Growth Rate of Real GDP per Employed Person (%),-0.4,2015,8.2.1,ARM
Armenia,"Unemployment Rate, Female (%)",19.5,2015,8.5.2,ARM
Armenia,"Unemployment Rate, Male (%)",17.6,2015,8.5.2,ARM
Armenia,"Unemployment Rate, Total (%)",18.5,2015,8.5.2,ARM
Armenia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",34.8,2015,8.6.1,ARM
Armenia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",36.35,2015,8.6.1,ARM
Armenia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",35.56,2015,8.6.1,ARM
Armenia,"CO2 Emissions, Million Metric Tons",5.22,2014,9.4.1,ARM
Armenia,"CO2 Emissions, Per Unit of GDP (PPP)",0.23,2014,9.4.1,ARM
Armenia,Total Official Flows for Infrastructure (constant 2014 $ million),403.1,2015,9.a.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, 2G (%)",100,2015,9.c.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, 3G (%)",99.9,2015,9.c.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",46.5,2015,9.c.1,ARM
Armenia,Annual Change in Money Supply (%),17.48,2016,,ARM
Armenia,"Central Government Finance, Expenditures (% of GDP)",28.17,2016,,ARM
Armenia,"Central Government Finance, Fiscal Balance (% of  GDP)",-5.38,2016,,ARM
Armenia,"Central Government Finance, Revenues (% of GDP)",22.79,2016,,ARM
Armenia,Current Account Balance (% of GDP),-2.57,2016,,ARM
Armenia,"External Debt, Total Outstanding (% of GNI)",36.82,2015,,ARM
Armenia,"External Debt, Total Outstanding ($ million)",4316.2,2015,,ARM
Armenia,Gross Domestic Investment (% of GDP),20.79,2015,,ARM
Armenia,Gross Domestic Product (GDP) Annual Growth Rate (%),3.02,2015,,ARM
Armenia,Gross Domestic Product (GDP) Annual Growth Rate (%),0.21,2016,,ARM
Armenia,Gross International Reserves ($ million),2200.32,2016,,ARM
Armenia,Growth Rate of Merchandise Exports (%),14,2016,,ARM
Armenia,Growth Rate of Merchandise Imports (%),-1,2016,,ARM
Armenia,Inflation Rate (%),-1.4,2016,,ARM
Armenia,"Per Capita Gross National Income (GNI), Atlas Method (%)",3880,2015,,ARM
Armenia,Trade Balance (% of GDP),-8.83,2016,,ARM
Armenia,"Value Added, Agriculture Annual Growth Rate (%)",-5.83,2016,,ARM
Armenia,"Value Added, Industry Annual Growth Rate (%)",-0.93,2016,,ARM
Armenia,"Value Added, Services Annual Growth Rate (%)",4.01,2016,,ARM
Azerbaijan,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",38.02,2015,,AZE
Azerbaijan,Average Annual Population Growth Rate (%),1.24,2011-2016,,AZE
Azerbaijan,Gini Index (%),,,,AZE
Azerbaijan,"Land, Total Surface Area ('000  km2)",86.6,,,AZE
Azerbaijan,Population Density (persons per km2 of total surface area),112.68,2016,,AZE
Azerbaijan,Total Fertility Rate (births per woman),2.27,2015,,AZE
Azerbaijan,Total Population (million),9.76,2016,,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",,,1.1.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",,,1.1.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",,,1.1.1,AZE
Azerbaijan,Proportion of Population below $1.90 Purchasing Power Parity (%),,,1.1.1,AZE
Azerbaijan,Proportion of Population Living below the National Poverty Line (%),4.9,2015,1.2.1,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita (%),,,10.1.1,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),,,10.1.1,AZE
Azerbaijan,Proportion of Urban Population Living in Slums (%),,,11.1.1,AZE
Azerbaijan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),26.3,2014,11.6.2,AZE
Azerbaijan,"Material Footprint, Million Metric Tons",40.65,2010,12.2.1,AZE
Azerbaijan,"Material Footprint, Per Capita",4.47,2010,12.2.1,AZE
Azerbaijan,"Domestic Material Consumption, Million Metric Tons",63.17,2010,12.2.2,AZE
Azerbaijan,"Domestic Material Consumption, Per Capita",6.95,2010,12.2.2,AZE
Azerbaijan,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,AZE
Azerbaijan,Forest Area as a Proportion of Total Land Area (%),13.78,2015,15.1.1,AZE
Azerbaijan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),,,16.9.1,AZE
Azerbaijan,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),2.39,2015,17.3.2,AZE
Azerbaijan,Debt Service as a Percentage of Exports of Goods and Services (%),2.97,2015,17.4.1,AZE
Azerbaijan,Fixed Broadband Subscriptions (per 100 inhabitants),19.76,2015,17.6.2,AZE
Azerbaijan,Proportion of Individuals Using the Internet (%),77,2015,17.8.1,AZE
Azerbaijan,Prevalence of Undernourishment (%),<5.0,2014-2016,2.1.1,AZE
Azerbaijan,Prevalence of Stunting among Children under 5 Years of Age (%),18,2013,2.2.1,AZE
Azerbaijan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),13,2013,2.2.2,AZE
Azerbaijan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),3.1,2013,2.2.2,AZE
Azerbaijan,"Maternal Mortality Ratio (per 100,000 live births)",25,2015,3.1.1,AZE
Azerbaijan,Proportion of Births Attended by Skilled Health Personnel (%),97.2,2011,3.1.2,AZE
Azerbaijan,"Infant Mortality Rate (per 1,000 live births)",27.9,2015,3.2.1,AZE
Azerbaijan,"Under-5 Mortality Rate (per 1,000 live births)",31.7,2015,3.2.1,AZE
Azerbaijan,"Neonatal Mortality Rate (per 1,000 live births)",18.2,2015,3.2.2,AZE
Azerbaijan,"Number of New HIV Infections (per 1,000 uninfected population)",0.12,2015,3.3.1,AZE
Azerbaijan,"Tuberculosis Incidence (per 100,000 population)",69,2015,3.3.2,AZE
Azerbaijan,"Incidence of Malaria (per 1,000 population)",0,2013,3.3.3,AZE
Azerbaijan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",23.32,2012,3.4.1,AZE
Azerbaijan,"Death Rate due to Road Traffic Injuries (per 100,000 population)",10,2013,3.6.1,AZE
Azerbaijan,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),,,3.7.1,AZE
Azerbaijan,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",47.2,2013,3.7.2,AZE
Azerbaijan,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",47,2012,3.9.1,AZE
Azerbaijan,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",2.11,2012,3.9.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",27.96,2015,4.2.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",27.31,2015,4.2.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",27.61,2015,4.2.2,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",91.16,2015,4.c.1,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",99.28,2015,4.c.1,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,AZE
Azerbaijan,Proportion of Seats Held by Women in National Parliaments (%),16.8,2016,5.5.1,AZE
Azerbaijan,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",77.75,2015,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",87,2015,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",94.68,2015,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",86.65,2015,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",89.35,2015,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",91.6,2015,6.2.1,AZE
Azerbaijan,Proportion of Population with Access to Electricity (%),100,2014,7.1.1,AZE
Azerbaijan,Renewal Energy Share in the Total Final Energy Consumption (%),2.12,2014,7.2.1,AZE
Azerbaijan,"Number of ATMs (per 100,000 adults)",35.75,2015,8.10.1,AZE
Azerbaijan,"Number of Commercial Bank Branches (per 100,000 adults)",10.52,2015,8.10.1,AZE
Azerbaijan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),30.71,2014,8.10.2,AZE
Azerbaijan,Annual Growth Rate of Real GDP per Employed Person (%),1.42,2015,8.2.1,AZE
Azerbaijan,"Unemployment Rate, Female (%)",5.9,2015,8.5.2,AZE
Azerbaijan,"Unemployment Rate, Male (%)",4.1,2015,8.5.2,AZE
Azerbaijan,"Unemployment Rate, Total (%)",5,2015,8.5.2,AZE
Azerbaijan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",12.39,2010,8.6.1,AZE
Azerbaijan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",6.96,2010,8.6.1,AZE
Azerbaijan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",9.64,2010,8.6.1,AZE
Azerbaijan,"CO2 Emissions, Million Metric Tons",30.79,2014,9.4.1,AZE
Azerbaijan,"CO2 Emissions, Per Unit of GDP (PPP)",0.2,2014,9.4.1,AZE
Azerbaijan,Total Official Flows for Infrastructure (constant 2014 $ million),357.12,2015,9.a.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, 2G (%)",100,2015,9.c.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, 3G (%)",97.3,2015,9.c.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",50,2015,9.c.1,AZE
Azerbaijan,Annual Change in Money Supply (%),-4.91,2016,,AZE
Azerbaijan,"Central Government Finance, Expenditures (% of GDP)",29.58,2016,,AZE
Azerbaijan,"Central Government Finance, Fiscal Balance (% of  GDP)",-0.4,2016,,AZE
Azerbaijan,"Central Government Finance, Revenues (% of GDP)",29.17,2016,,AZE
Azerbaijan,Current Account Balance (% of GDP),-2.1,2016,,AZE
Azerbaijan,"External Debt, Total Outstanding (% of GNI)",10.89,2015,,AZE
Azerbaijan,"External Debt, Total Outstanding ($ million)",6894.3,2015,,AZE
Azerbaijan,Gross Domestic Investment (% of GDP),28.69,2015,,AZE
Azerbaijan,Gross Domestic Product (GDP) Annual Growth Rate (%),1.1,2015,,AZE
Azerbaijan,Gross Domestic Product (GDP) Annual Growth Rate (%),-3.8,2016,,AZE
Azerbaijan,Gross International Reserves ($ million),7142.18,2016,,AZE
Azerbaijan,Growth Rate of Merchandise Exports (%),-15.83,2016,,AZE
Azerbaijan,Growth Rate of Merchandise Imports (%),-12.7,2016,,AZE
Azerbaijan,Inflation Rate (%),12.4,2016,,AZE
Azerbaijan,"Per Capita Gross National Income (GNI), Atlas Method (%)",6560,2015,,AZE
Azerbaijan,Trade Balance (% of GDP),11.85,2016,,AZE
Azerbaijan,"Value Added, Agriculture Annual Growth Rate (%)",2.6,2016,,AZE
Azerbaijan,"Value Added, Industry Annual Growth Rate (%)",-7.11,2016,,AZE
Azerbaijan,"Value Added, Services Annual Growth Rate (%)",-0.7,2016,,AZE
