Regional Economy,Statistic,Value,Unit of Measurement,Year,Sustainable Development Goal,Country Code
Armenia,Prevalence of Stunting among Children under 5 Years of Age,9.4,%,2016,2.1.1,ARM
Armenia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,13.7,%,2016,2.2.2,ARM
Armenia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,4.5,%,2016,2.2.2,ARM
Armenia,Maternal Mortality Ratio,25,"per 100,000 live births",2015,3.1.1,ARM
Armenia,Under-5 Mortality Rate,13,"per 1,000 live births",2016,3.2.1,ARM
Armenia,Neonatal Mortality Rate,7,"per 1,000 live births",2016,3.2.2,ARM
Armenia,Tuberculosis Incidence,44,"per 100,000 population",2016,3.3.2,ARM
Armenia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",23.2,%,2015,3.4.1,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",,%,2016,4.2.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",,%,2016,4.2.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",,%,2016,4.2.2,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,%,2016,4.c.1,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",80.5,%,2016,4.c.1,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,%,2016,4.c.1,ARM
Armenia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,2016,4.c.1,ARM
Armenia,Proportion of Seats Held by Women in National Parliaments,18.1,%,2017,5.5.1,ARM
Armenia,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Drinking Water Services, Total",60.6,%,2015,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,2015,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,2015,6.2.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",,%,2015,6.2.1,ARM
Armenia,Proportion of Population with Access to Electricity,100,%,2016,7.1.1,ARM
Armenia,Renewable Energy Share in the Total Final Energy Consumption,15.8,%,2015,7.2.1,ARM
Armenia,Number of ATMs,61.1,"per 100,000 adults",2016,8.10.1,ARM
Armenia,Number of Commercial Bank Branches,23.1,"per 100,000 adults",2016,8.10.1,ARM
Armenia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,47.8,%,2017,8.10.2,ARM
Armenia,Annual Growth Rate of Real GDP per Employed Person,2.5,%,2016,8.2.1,ARM
Armenia,"Unemployment Rate, Female",19.8,%,2016,8.5.2,ARM
Armenia,"Unemployment Rate, Male",16.5,%,2016,8.5.2,ARM
Armenia,"Unemployment Rate, Total",18,%,2016,8.5.2,ARM
Armenia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",37.8,%,2016,8.6.1,ARM
Armenia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",35.4,%,2016,8.6.1,ARM
Armenia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",36.6,%,2016,8.6.1,ARM
Armenia,"CO2 Emissions, Million Metric Tons",4.7,,2015,9.4.1,ARM
Armenia,"CO2 Emissions, Per Unit of GDP (PPP)",0.2,,2015,9.4.1,ARM
Armenia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",104.6,"disbursements, constant 2015, $ million",2016,9.a.1,ARM
Armenia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",182.4,"disbursements, constant 2015, $ million",2016,9.a.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, 2G",100,%,2016,9.c.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, 3G",100,%,2016,9.c.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",52.5,%,2016,9.c.1,ARM
Armenia,Age Dependency Ratio,45,% of working-age population,2016,,ARM
Armenia,Annual Change in Money Supply,18.5,%,2017,,ARM
Armenia,Annual Growth Rate of Gross Domestic Product (GDP),0.2,%,2016,,ARM
Armenia,Annual Growth Rate of Gross Domestic Product (GDP),7.5,%,2017,,ARM
Armenia,"Annual Real Growth Rates on Value Added, Agriculture",-4,%,2017,,ARM
Armenia,"Annual Real Growth Rates on Value Added, Industry",8,%,2017,,ARM
Armenia,"Annual Real Growth Rates on Value Added, Services",10.4,%,2017,,ARM
Armenia,Average Annual Population Growth Rate,-0.3,%,2012-2017,,ARM
Armenia,"Central Government Finance, Expenditure",27,% of GDP,2017,,ARM
Armenia,"Central Government Finance, Fiscal Balance",-4.8,% of GDP,2017,,ARM
Armenia,"Central Government Finance, Revenue",22.2,% of GDP,2017,,ARM
Armenia,Current Account Balance,-2.5,% of GDP,2017,,ARM
Armenia,"External Debt, Total Outstanding",43.6,% of GNI,2016,,ARM
Armenia,"External Debt, Total Outstanding",4806,$ million,2016,,ARM
Armenia,Gross Domestic Investment,15.8,% of GDP,2017,,ARM
Armenia,Gross International Reserves,2314,$ million,2017,,ARM
Armenia,Growth Rate of Merchandise Exports,22.3,%,2017,,ARM
Armenia,Growth Rate of Merchandise Imports,26.8,%,2017,,ARM
Armenia,Inflation Rate,1,%,2017,,ARM
Armenia,"Land, Total Surface Area",29.74,",000  km2",,,ARM
Armenia,"Per Capita Gross National Income (GNI), Atlas Method",3770,$,2016,,ARM
Armenia,Population Density,100,persons per km2 of surface area,2017,,ARM
Armenia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.8,%,2016,,ARM
Armenia,Proportion of Population Living below the National Poverty Line,29.4,%,2016,,ARM
Armenia,Total Fertility Rate,1.6,births per woman,2016,,ARM
Armenia,Total Population,2.98,million,2017,,ARM
Armenia,Trade Balance,-11.1,% of GDP,2017,,ARM
Azerbaijan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",0.2,%,2017,1.1.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",0.3,%,2017,1.1.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",0.2,%,2017,1.1.1,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita,,%,,10.1.1,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,%,,10.1.1,AZE
Azerbaijan,Proportion of Urban Population Living in Slums,,%,2014,11.1.1,AZE
Azerbaijan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,26.3,migrogram/m3,2014,11.6.2,AZE
Azerbaijan,"Material Footprint, Million Metric Tons ",40.7,,2010,12.2.1,AZE
Azerbaijan,"Material Footprint, Per Capita ",4.5,,2010,12.2.1,AZE
Azerbaijan,"Domestic Material Consumption, Million Metric Tons",63.2,,2010,12.2.2,AZE
Azerbaijan,"Domestic Material Consumption, Per Capita",6.9,,2010,12.2.2,AZE
Azerbaijan,Coverage of Protected Areas in Relation to Marine Areas,0.4,%,2016,14.5.1,AZE
Azerbaijan,Forest Area as a Proportion of Total Land Area,13.8,%,2015,15.1.1,AZE
Azerbaijan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,,%,2014,16.9.1,AZE
Azerbaijan,Volume of Remittances in US Dollars as a Proportion of Total GDP,1.7,%,2016,17.3.2,AZE
Azerbaijan,Debt Service as a Percentage of Exports of Goods and Services,4.4,%,2016,17.4.1,AZE
Azerbaijan,Prevalence of Undernourishment,<2.5,%,2014-2016,2.1.1,AZE
Azerbaijan,Prevalence of Stunting among Children under 5 Years of Age,18,%,2013,2.1.1,AZE
Azerbaijan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,13,%,2013,2.2.2,AZE
Azerbaijan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.1,%,2013,2.2.2,AZE
Azerbaijan,Maternal Mortality Ratio,25,"per 100,000 live births",2015,3.1.1,AZE
Azerbaijan,Under-5 Mortality Rate,31,"per 1,000 live births",2016,3.2.1,AZE
Azerbaijan,Neonatal Mortality Rate,18,"per 1,000 live births",2016,3.2.2,AZE
Azerbaijan,Tuberculosis Incidence,66,"per 100,000 population",2016,3.3.2,AZE
Azerbaijan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",23.8,%,2015,3.4.1,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",25.1,%,2016,4.2.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",24.8,%,2016,4.2.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",24.9,%,2016,4.2.2,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",91.6,%,2016,4.c.1,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",88,%,2016,4.c.1,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",89.5,%,2016,4.c.1,AZE
Azerbaijan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,2016,4.c.1,AZE
Azerbaijan,Proportion of Seats Held by Women in National Parliaments,16.8,%,2017,5.5.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Drinking Water Services, Total",71.5,%,2015,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,2015,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,2015,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",73.4,%,2015,6.2.1,AZE
Azerbaijan,Proportion of Population with Access to Electricity,100,%,2016,7.1.1,AZE
Azerbaijan,Renewable Energy Share in the Total Final Energy Consumption,2.3,%,2015,7.2.1,AZE
Azerbaijan,Number of ATMs,32.7,"per 100,000 adults",2016,8.10.1,AZE
Azerbaijan,Number of Commercial Bank Branches,10.7,"per 100,000 adults",2015,8.10.1,AZE
Azerbaijan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,28.6,%,2017,8.10.2,AZE
Azerbaijan,Annual Growth Rate of Real GDP per Employed Person,-2.9,%,2016,8.2.1,AZE
Azerbaijan,"Unemployment Rate, Female",5.8,%,2016,8.5.2,AZE
Azerbaijan,"Unemployment Rate, Male",4.2,%,2016,8.5.2,AZE
Azerbaijan,"Unemployment Rate, Total",5,%,2016,8.5.2,AZE
Azerbaijan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",,%,2016,8.6.1,AZE
Azerbaijan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",,%,2016,8.6.1,AZE
Azerbaijan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",,%,2016,8.6.1,AZE
Azerbaijan,"CO2 Emissions, Million Metric Tons",30.8,,2015,9.4.1,AZE
Azerbaijan,"CO2 Emissions, Per Unit of GDP (PPP)",0.2,,2015,9.4.1,AZE
Azerbaijan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",12.9,"disbursements, constant 2015, $ million",2016,9.a.1,AZE
Azerbaijan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",700.3,"disbursements, constant 2015, $ million",2016,9.a.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, 2G",100,%,2016,9.c.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, 3G",95.5,%,2016,9.c.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",41,%,2016,9.c.1,AZE
Azerbaijan,Age Dependency Ratio,41,% of working-age population,2016,,AZE
Azerbaijan,Annual Change in Money Supply,9,%,2017,,AZE
Azerbaijan,Annual Growth Rate of Gross Domestic Product (GDP),-3.1,%,2016,,AZE
Azerbaijan,Annual Growth Rate of Gross Domestic Product (GDP),0.1,%,2017,,AZE
Azerbaijan,"Annual Real Growth Rates on Value Added, Agriculture",4.2,%,2017,,AZE
Azerbaijan,"Annual Real Growth Rates on Value Added, Industry",-3.6,%,2017,,AZE
Azerbaijan,"Annual Real Growth Rates on Value Added, Services",3.5,%,2017,,AZE
Azerbaijan,Average Annual Population Growth Rate,1.2,%,2012-2017,,AZE
Azerbaijan,"Central Government Finance, Expenditure",25.1,% of GDP,2017,,AZE
Azerbaijan,"Central Government Finance, Fiscal Balance",-1.6,% of GDP,2017,,AZE
Azerbaijan,"Central Government Finance, Revenue",23.5,% of GDP,2017,,AZE
Azerbaijan,Current Account Balance,5.5,% of GDP,2017,,AZE
Azerbaijan,"External Debt, Total Outstanding",14.9,% of GNI,2016,,AZE
Azerbaijan,"External Debt, Total Outstanding",6913,$ million,2016,,AZE
Azerbaijan,Gross Domestic Investment,28.7,% of GDP,2015,,AZE
Azerbaijan,Gross International Reserves,5335,$ million,2017,,AZE
Azerbaijan,Growth Rate of Merchandise Exports,17.1,%,2017,,AZE
Azerbaijan,Growth Rate of Merchandise Imports,-2.5,%,2017,,AZE
Azerbaijan,Inflation Rate,12.9,%,2017,,AZE
Azerbaijan,"Land, Total Surface Area",86.6,",000  km2",,,AZE
Azerbaijan,"Per Capita Gross National Income (GNI), Atlas Method",4760,$,2016,,AZE
Azerbaijan,Population Density,114,persons per km2 of surface area,2017,,AZE
Azerbaijan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,,%,2016,,AZE
Azerbaijan,Proportion of Population Living below the National Poverty Line,5.9,%,2016,,AZE
Azerbaijan,Total Fertility Rate,2.1,births per woman,2016,,AZE
Azerbaijan,Total Population,9.89,million,2017,,AZE
Azerbaijan,Trade Balance,16.4,% of GDP,2017,,AZE
Bangladesh,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",46.6,%,2017,1.1.1,BGD
Bangladesh,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",39.5,%,2017,1.1.1,BGD
Bangladesh,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",41.5,%,2017,1.1.1,BGD
Bangladesh,Growth Rates of Household Expenditure or Income per Capita,1.5,%,2010-2016,10.1.1,BGD
Bangladesh,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.3,%,2010-2016,10.1.1,BGD
Bangladesh,Proportion of Urban Population Living in Slums,55.1,%,2014,11.1.1,BGD
Bangladesh,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,88.8,migrogram/m3,2014,11.6.2,BGD
Bangladesh,"Material Footprint, Million Metric Tons ",306.3,,2015,12.2.1,BGD
Bangladesh,"Material Footprint, Per Capita ",1.9,,2015,12.2.1,BGD
Bangladesh,"Domestic Material Consumption, Million Metric Tons",346.8,,2015,12.2.2,BGD
Bangladesh,"Domestic Material Consumption, Per Capita",2.2,,2015,12.2.2,BGD
Bangladesh,Coverage of Protected Areas in Relation to Marine Areas,5.4,%,2016,14.5.1,BGD
Bangladesh,Forest Area as a Proportion of Total Land Area,11,%,2015,15.1.1,BGD
Bangladesh,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,20.2,%,2014,16.9.1,BGD
Bangladesh,Volume of Remittances in US Dollars as a Proportion of Total GDP,6.1,%,2016,17.3.2,BGD
Bangladesh,Debt Service as a Percentage of Exports of Goods and Services,3.1,%,2016,17.4.1,BGD
Bangladesh,Prevalence of Undernourishment,15.1,%,2014-2016,2.1.1,BGD
Bangladesh,Prevalence of Stunting among Children under 5 Years of Age,36.1,%,2014,2.1.1,BGD
Bangladesh,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.4,%,2014,2.2.2,BGD
Bangladesh,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,14.3,%,2014,2.2.2,BGD
Bangladesh,Maternal Mortality Ratio,176,"per 100,000 live births",2015,3.1.1,BGD
Bangladesh,Under-5 Mortality Rate,34,"per 1,000 live births",2016,3.2.1,BGD
Bangladesh,Neonatal Mortality Rate,20,"per 1,000 live births",2016,3.2.2,BGD
Bangladesh,Tuberculosis Incidence,221,"per 100,000 population",2016,3.3.2,BGD
Bangladesh,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",21.5,%,2015,3.4.1,BGD
Bangladesh,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",59.3,%,2011,4.2.2,BGD
Bangladesh,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",60,%,2011,4.2.2,BGD
Bangladesh,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",59.7,%,2011,4.2.2,BGD
Bangladesh,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",67.2,%,2016,4.c.1,BGD
Bangladesh,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,%,2016,4.c.1,BGD
