Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Code
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,AFG
Afghanistan,Proportion of Population with Access to Electricity,98,,2019,%,7.1.1,AFG
Afghanistan,Proportion of Seats Held by Women in National Parliaments,27,,2020,%,5.5.1,AFG
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",…,,2019,%,4.c.1,AFG
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",…,,2019,%,4.c.1,AFG
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Primary",…,,2019,%,4.c.1,AFG
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",…,,2019,%,4.c.1,AFG
Afghanistan,Renewable Energy Share in the Total Final Energy Consumption,21.4,,2018,%,7.2.1,AFG
Afghanistan,Surface Area,652.9,,2018,'000  km2,,AFG
Afghanistan,Total Fertility Rate,4.5,,2018,births per woman,,AFG
Afghanistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",558,,2019,"disbursements, constant 2018, $ million",9.a.1,AFG
Afghanistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",4.1,,2019,"disbursements, constant 2018, $ million",9.a.1,AFG
Afghanistan,"Total Outstanding, External Debt",1457,,2020,$ million,,AFG
Afghanistan,"Total Outstanding, External Debt",5.7,,2019,% of GNI,,AFG
Afghanistan,Total Population,31.4,,2000,million,,AFG
Afghanistan,Trade Balance,-23.9,,2020,% of GDP,,AFG
Afghanistan,Tuberculosis Incidence,189,,2019,"per 100,000 population",3.3.2,AFG
Afghanistan,Under-5 Mortality Rate,60.3,,2019,"per 1,000 live births",3.2.1,AFG
Afghanistan,"Unemployment Rate, by Sex, Female",13.8,,2019,%,8.5.2,AFG
Afghanistan,"Unemployment Rate, by Sex, Male",10.2,,2019,%,8.5.2,AFG
Afghanistan,"Unemployment Rate, by Sex, Total",11.7,,2020,%,8.5.2,AFG
Afghanistan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,4.3,,2019,%,17.3.2,AFG
Armenia,Age Dependency Ratio,48.4,,2020,% of working-age population,,ARM
Armenia,Annual Change in Money Supply,9,,2020,%,,ARM
Armenia,Annual Growth Rate of GDP,-7.6,,2020,%,,ARM
Armenia,Annual Growth Rate of Real GDP per Employed Person,7.8,,2019,%,8.2.1,ARM
Armenia,"Annual Real Growth Rates on Value Added, Agriculture",-4,,2020,%,,ARM
Armenia,"Annual Real Growth Rates on Value Added, Industry",-2.8,,2020,%,,ARM
Armenia,"Annual Real Growth Rates on Value Added, Services",-9.2,,2020,%,,ARM
Armenia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,32.9,,2016,μg/m3,11.6.2,ARM
Armenia,Average Annual Population Growth Rate,-0.3,,2015-2020,%,,ARM
Armenia,CO2 Emissions,5.4,,2018,Million Metric Tons,9.4.1,ARM
Armenia,CO2 Emissions,0.2,,2018,Per Unit of GDP (PPP),9.4.1,ARM
Armenia,Coverage of Protected Areas in Relation to Marine Areas,–,,2020,%,14.5.1,ARM
Armenia,Current Account Balance,-3.1,,2020,% of GDP,,ARM
Armenia,Debt Service as a Percentage of Exports of Goods and Services,12.7,,2019,%,17.4.1,ARM
Armenia,Domestic Material Consumption,32.5,,2017,Million Metric Tons,12.2.2,ARM
Armenia,Domestic Material Consumption,11.1,,2017,Per Capita,12.2.2,ARM
Armenia,Forest Area as a Proportion of Total Land Area,11.5,,2020,%,15.1.1,ARM
Armenia,"Government Finance, Expenditure",30.6,,2020,% of  GDP,,ARM
Armenia,"Government Finance, Fiscal Balance",-5.4,,2020,% of  GDP,,ARM
Armenia,"Government Finance, Revenue",25.2,,2020,% of  GDP,,ARM
Armenia,Gross Domestic Investment,17.2,,2020,% of GDP,,ARM
Armenia,Gross International Reserves,2614.1,,2020,$ million,,ARM
Armenia,Growth Rate of Merchandise Exports,-15.5,,2020,%,,ARM
Armenia,Growth Rate of Merchandise Imports,-19.5,,2020,%,,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita,2.4,,2013-2018,%,10.1.1,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.3,,2013-2018,%,10.1.1,ARM
Armenia,Inflation Rate,1.2,,2020,%,,ARM
Armenia,Material Footprint,23.9,,2017,Million Metric Tons,12.2.1,ARM
Armenia,Material Footprint,8.2,,2017,Per Capita,12.2.1,ARM
Armenia,Maternal Mortality Ratio,26,,2017,"per 100,000 live births",3.1.1,ARM
Armenia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",19.9,,2019,%,3.4.1,ARM
Armenia,Neonatal Mortality Rate,6.4,,2019,"per 1,000 live births",3.2.2,ARM
Armenia,Nominal Gross Domestic Product,12.6,,2020,$ billion,,ARM
Armenia,Number of ATMs,65.5,,2019,"per 100,000 adults",8.10.1,ARM
Armenia,Number of Commercial Bank Branches,24.2,,2019,"per 100,000 adults",8.10.1,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",50.3,,2019,%,4.2.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",48.4,,2019,%,4.2.2,ARM
Armenia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",49.3,,2019,%,4.2.2,ARM
Armenia,"Per Capita Gross National Income (GNI), Atlas Method",4680,,2019,$,,ARM
Armenia,Population Density,100,,2020,persons per km2 of surface area,,ARM
Armenia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,13.7,4,2016,%,2.2.1,ARM
Armenia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,4.4,4,2016,%,2.2.1,ARM
Armenia,Prevalence of Stunting among Children under 5 Years of Age,9.4,4,2016,%,2.2.1,ARM
Armenia,Prevalence of Undernourishment,2.6,,2017-2019,%,2.1.1,ARM
Armenia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,47.8,,2017,%,8.10.2,ARM
Armenia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,99.3,4,2016,%,16.9.1,ARM
Armenia,"Proportion of Employed Population below $1.90 PPP a Day, Female",0.4,,2019,%,1.1.1,ARM
Armenia,"Proportion of Employed Population below $1.90 PPP a Day, Male",0.3,,2019,%,1.1.1,ARM
Armenia,"Proportion of Employed Population below $1.90 PPP a Day, Total",0.3,,2019,%,1.1.1,ARM
Armenia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.1,7,2019,%,,ARM
Armenia,"Proportion of Population Covered by Mobile Network, 2G",100,,2019,%,9.c.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, 3G",100,,2019,%,9.c.1,ARM
Armenia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.3,,2019,%,9.c.1,ARM
Armenia,Proportion of Population Living below the National Poverty Line,26.4,,2019,%,,ARM
Armenia,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Drinking Water Services, Total",86.5,,2017,%,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",48.2,,2017,%,6.2.1,ARM
Armenia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",45.3,,2017,%,6.2.1,ARM
Armenia,Proportion of Population with Access to Electricity,100,,2019,%,7.1.1,ARM
Armenia,Proportion of Seats Held by Women in National Parliaments,23.5,,2020,%,5.5.1,ARM
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",73.6,,2019,%,4.c.1,ARM
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",82,5,2017,%,4.c.1,ARM
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Primary",73.6,,2019,%,4.c.1,ARM
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",75.4,,2019,%,4.c.1,ARM
Armenia,Renewable Energy Share in the Total Final Energy Consumption,11.1,,2018,%,7.2.1,ARM
Armenia,Surface Area,29.7,,2018,'000  km2,,ARM
Armenia,Total Fertility Rate,1.8,,2018,births per woman,,ARM
Armenia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",48.2,,2019,"disbursements, constant 2018, $ million",9.a.1,ARM
Armenia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",240.1,,2019,"disbursements, constant 2018, $ million",9.a.1,ARM
Armenia,"Total Outstanding, External Debt",6053.1,,2020,$ million,,ARM
Armenia,"Total Outstanding, External Debt",41.8,,2019,% of GNI,,ARM
Armenia,Total Population,3,,2000,million,,ARM
Armenia,Trade Balance,-10.5,,2020,% of GDP,,ARM
Armenia,Tuberculosis Incidence,26,,2019,"per 100,000 population",3.3.2,ARM
Armenia,Under-5 Mortality Rate,11.8,,2019,"per 1,000 live births",3.2.1,ARM
Armenia,"Unemployment Rate, by Sex, Female",20.3,,2019,%,8.5.2,ARM
Armenia,"Unemployment Rate, by Sex, Male",17.7,,2019,%,8.5.2,ARM
Armenia,"Unemployment Rate, by Sex, Total",20.2,,2020,%,8.5.2,ARM
Armenia,Volume of Remittances in United States Dollars as a Proportion of Total GDP,11.2,,2019,%,17.3.2,ARM
Azerbaijan,Age Dependency Ratio,43.4,,2020,% of working-age population,,AZE
Azerbaijan,Annual Change in Money Supply,1.1,,2020,%,,AZE
Azerbaijan,Annual Growth Rate of GDP,-4.3,,2020,%,,AZE
Azerbaijan,Annual Growth Rate of Real GDP per Employed Person,1.8,,2019,%,8.2.1,AZE
Azerbaijan,"Annual Real Growth Rates on Value Added, Agriculture",1.9,,2020,%,,AZE
Azerbaijan,"Annual Real Growth Rates on Value Added, Industry",-5.7,,2020,%,,AZE
Azerbaijan,"Annual Real Growth Rates on Value Added, Services",-3.9,,2020,%,,AZE
Azerbaijan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,18.5,,2016,μg/m3,11.6.2,AZE
Azerbaijan,Average Annual Population Growth Rate,0.9,,2015-2020,%,,AZE
Azerbaijan,CO2 Emissions,30.9,,2018,Million Metric Tons,9.4.1,AZE
Azerbaijan,CO2 Emissions,0.2,,2018,Per Unit of GDP (PPP),9.4.1,AZE
Azerbaijan,Coverage of Protected Areas in Relation to Marine Areas,0.4,,2020,%,14.5.1,AZE
Azerbaijan,Current Account Balance,-0.5,,2020,% of GDP,,AZE
Azerbaijan,Debt Service as a Percentage of Exports of Goods and Services,6.5,,2019,%,17.4.1,AZE
Azerbaijan,Domestic Material Consumption,90.1,,2017,Million Metric Tons,12.2.2,AZE
Azerbaijan,Domestic Material Consumption,9.2,,2017,Per Capita,12.2.2,AZE
Azerbaijan,Forest Area as a Proportion of Total Land Area,13.7,,2020,%,15.1.1,AZE
Azerbaijan,"Government Finance, Expenditure",36.5,,2020,% of  GDP,,AZE
Azerbaijan,"Government Finance, Fiscal Balance",-2.4,,2020,% of  GDP,,AZE
Azerbaijan,"Government Finance, Revenue",34.1,,2020,% of  GDP,,AZE
Azerbaijan,Gross Domestic Investment,23.5,,2020,% of GDP,,AZE
Azerbaijan,Gross International Reserves,5334.6,5,2017,$ million,,AZE
Azerbaijan,Growth Rate of Merchandise Exports,-36.6,,2020,%,,AZE
Azerbaijan,Growth Rate of Merchandise Imports,-11.1,,2020,%,,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,AZE
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,AZE
Azerbaijan,Inflation Rate,2.8,,2020,%,,AZE
Azerbaijan,Material Footprint,61.5,,2017,Million Metric Tons,12.2.1,AZE
Azerbaijan,Material Footprint,6.3,,2017,Per Capita,12.2.1,AZE
Azerbaijan,Maternal Mortality Ratio,26,,2017,"per 100,000 live births",3.1.1,AZE
Azerbaijan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",27.2,,2019,%,3.4.1,AZE
Azerbaijan,Neonatal Mortality Rate,10.9,,2019,"per 1,000 live births",3.2.2,AZE
Azerbaijan,Nominal Gross Domestic Product,42.6,,2020,$ billion,,AZE
Azerbaijan,Number of ATMs,34.5,,2019,"per 100,000 adults",8.10.1,AZE
Azerbaijan,Number of Commercial Bank Branches,10.7,3,2015,"per 100,000 adults",8.10.1,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",81.1,,2019,%,4.2.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",68.2,,2019,%,4.2.2,AZE
Azerbaijan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",74.2,,2019,%,4.2.2,AZE
Azerbaijan,"Per Capita Gross National Income (GNI), Atlas Method",4480,,2019,$,,AZE
Azerbaijan,Population Density,117,,2020,persons per km2 of surface area,,AZE
Azerbaijan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,14.1,1,2013,%,2.2.1,AZE
Azerbaijan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.2,1,2013,%,2.2.1,AZE
Azerbaijan,Prevalence of Stunting among Children under 5 Years of Age,17.8,1,2013,%,2.2.1,AZE
Azerbaijan,Prevalence of Undernourishment,<2.5,,2017-2019,%,2.1.1,AZE
Azerbaijan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,28.6,,2017,%,8.10.2,AZE
Azerbaijan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,2019,%,16.9.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 PPP a Day, Female",–,,2019,%,1.1.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 PPP a Day, Male",–,,2019,%,1.1.1,AZE
Azerbaijan,"Proportion of Employed Population below $1.90 PPP a Day, Total",–,,2019,%,1.1.1,AZE
Azerbaijan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,2018,%,,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, 2G",100,,2019,%,9.c.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, 3G",97.6,,2019,%,9.c.1,AZE
Azerbaijan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",93,,2019,%,9.c.1,AZE
Azerbaijan,Proportion of Population Living below the National Poverty Line,4.8,,2019,%,,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Drinking Water Services, Total",73.6,,2017,%,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,AZE
Azerbaijan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",92.2,,2017,%,6.2.1,AZE
Azerbaijan,Proportion of Population with Access to Electricity,100,,2019,%,7.1.1,AZE
Azerbaijan,Proportion of Seats Held by Women in National Parliaments,17.4,,2020,%,5.5.1,AZE
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",99.6,,2019,%,4.c.1,AZE
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",93.8,,2019,%,4.c.1,AZE
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Primary",99.8,,2019,%,4.c.1,AZE
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",70.6,,2019,%,4.c.1,AZE
Azerbaijan,Renewable Energy Share in the Total Final Energy Consumption,2,,2018,%,7.2.1,AZE
Azerbaijan,Surface Area,86.6,,2018,'000  km2,,AZE
Azerbaijan,Total Fertility Rate,2.1,,2018,births per woman,,AZE
Azerbaijan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",65.9,,2019,"disbursements, constant 2018, $ million",9.a.1,AZE
Azerbaijan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",466.5,,2019,"disbursements, constant 2018, $ million",9.a.1,AZE
Azerbaijan,"Total Outstanding, External Debt",9398.3,5,2017,$ million,,AZE
Azerbaijan,"Total Outstanding, External Debt",23.3,5,2017,% of GNI,,AZE
Azerbaijan,Total Population,10.1,,2000,million,,AZE
Azerbaijan,Trade Balance,5.9,,2020,% of GDP,,AZE
Azerbaijan,Tuberculosis Incidence,60,,2019,"per 100,000 population",3.3.2,AZE
Azerbaijan,Under-5 Mortality Rate,20.4,,2019,"per 1,000 live births",3.2.1,AZE
Azerbaijan,"Unemployment Rate, by Sex, Female",5.7,,2019,%,8.5.2,AZE
Azerbaijan,"Unemployment Rate, by Sex, Male",4,,2019,%,8.5.2,AZE
Azerbaijan,"Unemployment Rate, by Sex, Total",6.3,,2020,%,8.5.2,AZE
Azerbaijan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,2.7,,2019,%,17.3.2,AZE
Bangladesh,Age Dependency Ratio,47,,2020,% of working-age population,,BAN
Bangladesh,Annual Change in Money Supply,12.7,,2020,%,,BAN
Bangladesh,Annual Growth Rate of GDP,5.2,,2020,%,,BAN
Bangladesh,Annual Growth Rate of Real GDP per Employed Person,6.1,,2019,%,8.2.1,BAN
Bangladesh,"Annual Real Growth Rates on Value Added, Agriculture",3.1,,2020,%,,BAN
Bangladesh,"Annual Real Growth Rates on Value Added, Industry",6.5,,2020,%,,BAN
Bangladesh,"Annual Real Growth Rates on Value Added, Services",5.3,,2020,%,,BAN
Bangladesh,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,58.6,,2016,μg/m3,11.6.2,BAN
Bangladesh,Average Annual Population Growth Rate,1.4,,2015-2020,%,,BAN
Bangladesh,CO2 Emissions,82,,2018,Million Metric Tons,9.4.1,BAN
Bangladesh,CO2 Emissions,0.1,,2018,Per Unit of GDP (PPP),9.4.1,BAN
Bangladesh,Coverage of Protected Areas in Relation to Marine Areas,5.4,,2020,%,14.5.1,BAN
Bangladesh,Current Account Balance,-1.5,,2020,% of GDP,,BAN
Bangladesh,Debt Service as a Percentage of Exports of Goods and Services,4.1,,2019,%,17.4.1,BAN
Bangladesh,Domestic Material Consumption,438.3,,2017,Million Metric Tons,12.2.2,BAN
Bangladesh,Domestic Material Consumption,2.7,,2017,Per Capita,12.2.2,BAN
Bangladesh,Forest Area as a Proportion of Total Land Area,14.5,,2020,%,15.1.1,BAN
Bangladesh,"Government Finance, Expenditure",14.9,,2020,% of  GDP,,BAN
Bangladesh,"Government Finance, Fiscal Balance",-5.5,,2020,% of  GDP,,BAN
Bangladesh,"Government Finance, Revenue",9.4,,2020,% of  GDP,,BAN
Bangladesh,Gross Domestic Investment,31.8,,2020,% of GDP,,BAN
Bangladesh,Gross International Reserves,36037,,2020,$ million,,BAN
Bangladesh,Growth Rate of Merchandise Exports,-17.1,,2020,%,,BAN
Bangladesh,Growth Rate of Merchandise Imports,-8.6,,2020,%,,BAN
Bangladesh,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,BAN
Bangladesh,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,BAN
Bangladesh,Inflation Rate,5.7,,2020,%,,BAN
Bangladesh,Material Footprint,388.9,,2017,Million Metric Tons,12.2.1,BAN
Bangladesh,Material Footprint,2.4,,2017,Per Capita,12.2.1,BAN
Bangladesh,Maternal Mortality Ratio,173,,2017,"per 100,000 live births",3.1.1,BAN
Bangladesh,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",18.9,,2019,%,3.4.1,BAN
Bangladesh,Neonatal Mortality Rate,19.1,,2019,"per 1,000 live births",3.2.2,BAN
Bangladesh,Nominal Gross Domestic Product,329.8,,2020,$ billion,,BAN
Bangladesh,Number of ATMs,9.4,,2019,"per 100,000 adults",8.10.1,BAN
Bangladesh,Number of Commercial Bank Branches,9,,2019,"per 100,000 adults",8.10.1,BAN
Bangladesh,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",…,,2019,%,4.2.2,BAN
Bangladesh,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",…,,2019,%,4.2.2,BAN
Bangladesh,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",…,,2019,%,4.2.2,BAN
Bangladesh,"Per Capita Gross National Income (GNI), Atlas Method",1940,,2019,$,,BAN
Bangladesh,Population Density,1151,,2020,persons per km2 of surface area,,BAN
Bangladesh,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2.2,,2018,%,2.2.1,BAN
Bangladesh,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,8.4,,2018,%,2.2.1,BAN
Bangladesh,Prevalence of Stunting among Children under 5 Years of Age,30.8,,2018,%,2.2.1,BAN
Bangladesh,Prevalence of Undernourishment,13,,2017-2019,%,2.1.1,BAN
Bangladesh,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,50,,2017,%,8.10.2,BAN
Bangladesh,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,56,,2019,%,16.9.1,BAN
